"Customer ID","Customer Name","ABN","Contact Name","Phone","Email","Address","ABN Status","Created By","Created At"
"230200065","Sagarmatha Vendor","73254114573","Sdfsd232345","","","Perth WA, Australia","pending","Tony Stark","11/10/2023"
"230200064","Deepak","","","0555555555","deepakbaral8899@gmil.com","Perth WA, Australia","","Tony Stark","11/10/2023"
"230200063","Mira Love","26105353704","","","","Uyghur Restaurant, Prospect Road, Kilburn SA, Australia","pending","Tony Stark","10/10/2023"
"230200062","Constance Wolf","","","0523542432","your.email+intuji55987@hotmail.com","Adelaide Showground, Goodwood Road, Wayville SA, Australia","","Tony Stark","10/10/2023"
"230800061","Testmetal Pty Ltd","","","","","Sanepa Kathmandu","","Tester","10/10/2023"
"230200060","Everardo Harber","99473047414","","","","Yuille Street, Frankston VIC, Australia","pending","Tony Stark","09/10/2023"
"230200059","Wendell Oberbrunner","56105941526","","","","RTS Training Group, Scarborough Beach Road, Osborne Park WA, Australia","pending","Tony Stark","09/10/2023"
"230200058","Fabian Lindgren","58630144375","","","","Terminal 3 & Terminal 4, Perth Airport WA, Australia","pending","Tony Stark","09/10/2023"
"230200057","Ferris Giles","70666702192","","","","Yass NSW, Australia","pending","Tony Stark","09/10/2023"
"230200056","Marshall Humphrey","98107639912","","","","IUIH, Cox Road, Windsor QLD, Australia","pending","Tony Stark","09/10/2023"
"230200055","Annamarie Bauch","53962505292","","","","Erskine Falls, Erskine Falls Access Road, Lorne VIC, Australia","pending","Tony Stark","09/10/2023"
"230200054","Daria Wilder","","","0555555555","tefesigy@mailinator.com","Perth WA, Australia","","Tony Stark","09/10/2023"
"230200053","Baker Cooper","87611683428","","","","Regent Theatre, Collins Street, Melbourne VIC, Australia","verified","Tony Stark","09/10/2023"
"230200052","Miranda Booth","35108370190","","","","JGI Quarry, Maudsland Road, Oxenford QLD, Australia","verified","Tony Stark","09/10/2023"
"230200051","Francis Barrera","82074096941","","","","Golden Fleece Hotel, Montague Street, South Melbourne VIC, Australia","pending","Tony Stark","09/10/2023"
"230200050","Tatum Patton","","","","","Highpoint Shopping Centre, Rosamond Road, Maribyrnong VIC, Australia","","Tony Stark","09/10/2023"
"230200049","Rudyard Alston","","","0598378171","sywonup@mailinator.com","JK Restaurant Tandoori and Curry House, Station Road, Indooroopilly QLD, Australia","","Tony Stark","09/10/2023"
"230200048","Griffith Thomas","53656336551","","","","YTI Garden Hotel, Little Bourke Street, Melbourne VIC, Australia","pending","Tony Stark","09/10/2023"
"230200047","Hyacinth Duran","","","0466563835","mavaheru@mailinator.com","KJRI Melbourne (Indonesia Consulate General in Melbourne), Queens Road, Melbourne VIC, Australia","","Tony Stark","09/10/2023"
"230200046","Eliana Watkins","","","0446815259","tykecugy@mailinator.com","Yamba NSW, Australia","","Tony Stark","09/10/2023"
"230200045","Barry Simon","","","0423243242","vusobaze@mailinator.com","Treasury Casino and Hotel Brisbane, William Street, Brisbane City QLD, Australia,RTRS Australia, Hayley Street, Maddington WA, Australia,Terminal 1, Horrie Miller Drive, Perth Airport WA, Australia,Perth Airport (PER), Boud Avenue, Perth Airport WA, Australia","","Tony Stark","06/10/2023"
"230200044","Gloria Johns","","","","","Red Door Financial Group, Bulleen Road, Balwyn North VIC, Australia","","Tony Stark","06/10/2023"
"230200043","Natalie Hewitt","42628468084","","","","FDC Construction & Fitout, NSW, Junction Street, Forest Lodge NSW, Australia","pending","Tony Stark","06/10/2023"
"230200042","Deanna Robbins","70660423423","","","","Tyree Energy Technologies Building, Kensington NSW, Australia","pending","Tony Stark","06/10/2023"
"230200041","Isaac Holmes","","","0525165540","zafuleqip@mailinator.com","DFO South Wharf, Convention Centre Place, South Wharf VIC, Australia","","Tony Stark","06/10/2023"
"230200040","Kiran Thapa","","","0555555555","kiran@gmail.com","Perth WA, Australia","","Tony Stark","06/10/2023"
"230200037","Melvin Mack-paudell","","","0532353346","didiw@mailinator.com","Redcliffe QLD, Australia","","Tony Stark","05/10/2023"
"230200036","Daquan Irwi","","","0555555555","nuran@mailinator.com","Adelaide SA, Australia","","Tony Stark","05/10/2023"
"230200035","Einar Hilpert","","","0523423434","your.email+intuji90228@hotmail.com","ADF ACT Health Centre, Harrison Rd, Campbell ACT, Australia","","Tony Stark","05/10/2023"
"230200030","Eva White","","","0534234243","your.email+intuji52127@hotmail.com","Ereton Drive, Arundel QLD, Australia,Residential Tenancies Authority, Midtown centre, Mary Street, Brisbane City QLD, Australia,Perth WA, Australia,Street Taste, High Street, Preston VIC, Australia,BADAC, Armstrong Street North, Ballarat Central VIC, Australia,Erthe Life, Katherine Street, Chatswood NSW, Australia,Tyranny of Distance, Union Street, Windsor VIC, Australia","","Tony Stark","05/10/2023"
"230200028","Lula King","","","0519339819","your.email+intuji47061@hotmail.com","Yulli’s Brews, Burrows Road, Alexandria NSW, Australia,RTS Training Group, Scarborough Beach Road, Osborne Park WA, Australia,Adfresh Farms Pty Ltd, Fassio Road, Paddys Green QLD, Australia","","Tony Stark","05/10/2023"
"230200026","Sameer Poudel-upadhya-Dada","","Phelan Spears","0452156989","test@gmail.com","HJ Mahoney Memorial Park, Illawarra Road, Marrickville NSW, Australia,Terminal 3 & Terminal 4, Perth Airport WA, Australia","","Tony Stark","05/10/2023"
"230200024","Testing Qa-tester","","","0452521369","test124@gmail.com","YT Bathroom, Silverwater Road, Silverwater NSW, Australia","","Tony Stark","05/10/2023"
"230200023","Eudora Stehr","","","0523423432","your.email+intuji58571@hotmail.com","Terminal 3 & Terminal 4, Perth Airport WA, Australia","","Tony Stark","05/10/2023"
"230200022","Reagan Witt","33004055556","","","","Perth WA, Australia,Perth WA, Australia,Perth WA, Australia,Perth WA, Australia,Perth WA, Australia,Wagga Wagga NSW, Australia,balkumari","verified","Tony Stark","05/10/2023"
"230200017","Steve Smith","","","0555555555","waciqiw@mailinator.com","Perth WA, Australia","","Tony Stark","04/10/2023"
"230200014","Dee","","","0555555555","deepak.baral+10@webo.digital","Perth WA, Australia","","Tony Stark","03/10/2023"
"230200010","Pietro Watsica-Ullrich","","Claudia Knowles","","","ASF Audits, Collins Street, Melbourne VIC, Australia","","Tony Stark Avengers","26/09/2023"
"230200009","Maiya Hilll","53130634730","Zenaida Silva","","","Aeropuerto de Brisbane (BNE), Airport Drive, Brisbane Airport QLD, Australia","pending","Tony Stark Avengers","25/09/2023"
"230200008","Terence Hermiston","91472554374","Alec Hanson,Ezra Payne","","","Erskine Falls, Erskine Falls Access Road, Lorne VIC, Australia,Sandown Racecourse And Entertainment Centre, Springvale VIC, Australia","verified","Tony Stark Avengers","25/09/2023"
"230200007","Diana Kutch","41564493961","","","","Aether Brewing, Melton Road, Northgate QLD, Australia","pending","Tony Stark Avengers","25/09/2023"
"230200006","Customer Number 2","","","0523252525","your.email+intuji88125@hotmail.com","Erskine Falls, Erskine Falls Access Road, Lorne VIC, Australia","","Tony Stark Avengers","25/09/2023"
"230200005","Prazol Business","70154772077","","","","Street Hot Pot, Balmoral Avenue, Springvale VIC, Australia","pending","Tony Stark Avengers","25/09/2023"
"230200004","Niraj with ABN non verified","70154772077","","","","sdfsdf sdfsdf sdfsdf sdfsdf, Boyd Street, Tweed Heads NSW, Australia","pending","Tony Stark Avengers","25/09/2023"
"230200002","Sameer ABN Later","","","","","Subiaco WA, Australia","","Tony Stark Avengers","25/09/2023"
"230200001","Amod I to B","","","","","Street Dogz, High Street, Thornbury VIC, Australia","","Tony Stark Avengers","25/09/2023"
